INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (111, 'Henry Doe', 'henry@ex.com', '786 Aspen St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (112, 'Frank Jones', 'frank@email.com', '987 Willow St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (113, 'John Miller', 'john.@web.com', '872 Willow St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (114, 'John Wilson', 'john.@mail.com', '160 Maple St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (115, 'Dan Williams', 'dan.w@mail.com', '126 Poplar St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (116, 'Jane Williams', 'jane.@web.com', '49 Oak St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (117, 'Dan Johnson', 'dan.j@site.com', '915 Willow St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (118, 'Dan Wilson', 'dan.w@site.com', '594 Willow St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (119, 'John Jones', 'john.@email.com', '854 Birch St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (120, 'Jane Brown', 'jane.@ex.com', '824 Poplar St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (121, 'Alice Jones', 'alice@site.com', '239 Elm St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (122, 'Alice Wilson', 'alice@mail.com', '980 Pine St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (123, 'Eve Garcia', 'eve.g@ex.com', '396 Aspen St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (124, 'Carol Davis', 'carol@mail.com', '758 Birch St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (125, 'Carol Smith', 'carol@ex.com', '574 Pine St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (126, 'Bob Johnson', 'bob.j@site.com', '949 Maple St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (127, 'Henry Garcia', 'henry@ex.com', '49 Poplar St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (128, 'Grace Garcia', 'grace@web.com', '890 Poplar St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (129, 'Grace Davis', 'grace@email.com', '798 Oak St'); 
INSERT INTO CUSTOMER (CUSTOMER_ID, NAME, EMAIL, ADDRESS) VALUES (130, 'John Williams', 'john.@site.com', '878 Birch St'); 
